incident_id,date,state,city_or_county,n_killed,n_injured,congressional_district,gun_stolen,gun_type,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type,state_house_district,state_senate_district
92383,2014-01-01,New York,Queens,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",40.703,-73.747,0,0::22||1::26,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,33.0,14.0
92215,2014-01-01,South Carolina,North Charleston,1,0,6.0,,,"Shot - Dead (murder, accidental, suicide)",32.855,-79.998,0,0::52,0::Adult 18+,0::Female,,0::Killed,0::Victim,109.0,42.0
92357,2014-01-01,Delaware,Wilmington,1,0,1.0,,,"Shot - Dead (murder, accidental, suicide)",39.746,-75.567,0,0::28,0::Adult 18+,0::Male,,0::Killed,0::Victim,3.0,3.0
92790,2014-01-01,Colorado,Grand Junction,1,0,3.0,,,"Shot - Dead (murder, accidental, suicide)",39.05,-108.525,0,0::47,0::Adult 18+,0::Male,,0::Killed,0::Victim,54.0,7.0
92342,2014-01-01,Alabama,Huntsville,1,0,5.0,,,"Shot - Dead (murder, accidental, suicide)",34.766,-86.603,0,0::21||1::24,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,19.0,7.0
92153,2014-01-01,Louisiana,New Orleans,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)",29.977,-90.055,0,,0::Adult 18+,0::Male,,0::Killed,0::Victim,93.0,4.0
92578,2014-01-01,Louisiana,Marrero,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)",29.886,-90.109,0,0::31,0::Adult 18+,0::Male,,0::Killed,0::Victim,87.0,3.0
98134,2014-01-01,Louisiana,Marrero,1,0,2.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Car-jacking",29.886,-90.109,1,0::31||1::24,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,87.0,3.0
92563,2014-01-01,Mississippi,Bogue Chitto,1,0,3.0,0::Unknown,0::Unknown,"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||BB/Pellet/Replica gun",31.376,-90.56,1,0::6||1::13,0::Child 0-11||1::Teen 12-17,0::Female||1::Male,1::Family,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,53.0,39.0
92337,2014-01-01,Alabama,Crenshaw,1,0,2.0,,,"Shot - Dead (murder, accidental, suicide)",31.784,-86.193,0,0::18||1::19,0::Adult 18+||1::Adult 18+,0::Female||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect,90.0,25.0
